epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_confusion_0,val_confusion_1,val_confusion_2,val_val_loss,val_val_acc_slice,seconds
29,8.187119948743452e-05,0.34948809963883853,0.9962904954249444,268,0.6187066075586779,0.503731343283582,0.45217969165337585,0.45030462628549905,0.6581,0.6456,0.5524,0.6364,0.4868,0.2333,132,76,60,"[84, 25, 23]","[22, 37, 17]","[27, 19, 14]",1.2942426204681396,0.46810506566604126,19.914660930633545
30,8.064535268264887e-05,0.34861184188494354,0.9962904954249444,268,0.6102964254957288,0.4925373134328358,0.4162147793726741,0.4173396717355878,0.6476,0.653,0.5304,0.7197,0.3289,0.2,132,76,60,"[95, 12, 25]","[36, 25, 15]","[38, 10, 12]",1.2612857818603516,0.4803001876172608,19.90862202644348
31,7.938926261462371e-05,0.34741840860965706,0.9971148297749567,268,0.6162569953373941,0.45149253731343286,0.42198298777246146,0.4214589346797056,0.6336,0.644,0.5712,0.5379,0.3947,0.3333,132,76,60,"[71, 28, 33]","[27, 30, 19]","[28, 12, 20]",1.3221794366836548,0.44606003752345214,20.060569524765015
32,7.810416889260659e-05,0.3451565204847086,0.9974445635149617,268,0.6107089402900161,0.44776119402985076,0.41057947900053166,0.4071119399548741,0.6446,0.6007,0.5868,0.5379,0.4605,0.2333,132,76,60,"[71, 36, 25]","[26, 35, 15]","[25, 21, 14]",1.3172829151153564,0.4474671669793621,20.039385318756104
33,7.679133974894988e-05,0.3444672272354917,0.9978567306899678,268,0.6097297903872013,0.48880597014925375,0.41927166400850613,0.4204906204906205,0.6272,0.6396,0.5624,0.6894,0.3684,0.2,132,76,60,"[91, 17, 24]","[34, 28, 14]","[37, 11, 12]",1.2594881057739258,0.4718574108818011,20.000141620635986
34,7.545207078751862e-05,0.3426941436196521,0.9976094303849642,268,0.6373439946920985,0.48880597014925375,0.4297448165869218,0.4304065519514213,0.6623,0.6846,0.5651,0.6515,0.4211,0.2167,132,76,60,"[86, 24, 22]","[25, 32, 19]","[35, 12, 13]",1.2369343042373657,0.48686679174484054,19.879661083221436
35,7.408768370508582e-05,0.34338951472467233,0.9976094303849642,268,0.6101734348275564,0.48134328358208955,0.4209728867623605,0.4224270353302611,0.6395,0.6406,0.5505,0.6515,0.3947,0.2167,132,76,60,"[86, 22, 24]","[26, 30, 20]","[35, 12, 13]",1.2820032835006714,0.4596622889305816,19.956501007080078
36,7.26995249869774e-05,0.3422602410662765,0.9976918638199653,268,0.6108159846259692,0.4962686567164179,0.4196969696969697,0.41648685255242635,0.6397,0.6149,0.5779,0.7424,0.25,0.2667,132,76,60,"[98, 11, 23]","[39, 19, 18]","[36, 8, 16]",1.2759524583816528,0.4727954971857411,19.852375984191895
37,7.12889645782537e-05,0.3432105601094304,0.9974445635149617,268,0.6001034566461231,0.48134328358208955,0.4179425837320574,0.4198762838468721,0.6279,0.609,0.5634,0.6591,0.3947,0.2,132,76,60,"[87, 21, 24]","[30, 30, 16]","[39, 9, 12]",1.2895766496658325,0.4634146341463415,19.739704847335815
38,6.985739453173908e-05,0.339993643609348,0.9984337647349765,268,0.6149543275244708,0.47388059701492535,0.41895268474215847,0.4191378880100684,0.6547,0.6277,0.5625,0.6288,0.3947,0.2333,132,76,60,"[83, 25, 24]","[30, 30, 16]","[30, 16, 14]",1.2572523355484009,0.46153846153846156,19.95111083984375
39,6.840622763423397e-05,0.34135814236254225,0.9973621300799604,268,0.6251925381013036,0.503731343283582,0.445906432748538,0.44681370088168465,0.6472,0.6625,0.5659,0.6667,0.4211,0.25,132,76,60,"[88, 24, 20]","[29, 32, 15]","[32, 13, 15]",1.236572504043579,0.47373358348968103,19.83071231842041
40,6.693689601226464e-05,0.3396773938540722,0.9986810650399802,268,0.6003978577000055,0.5074626865671642,0.4349282296650718,0.4334851442203427,0.6717,0.5974,0.5321,0.7197,0.3684,0.2167,132,76,60,"[95, 22, 15]","[30, 28, 18]","[33, 14, 13]",1.2660269737243652,0.46904315196998125,19.983901023864746
41,6.545084971874744e-05,0.3388827645211648,0.9981864644299728,268,0.6266650320031705,0.5149253731343284,0.42668793195108984,0.41733226783871075,0.6822,0.6475,0.5502,0.7652,0.3816,0.1333,132,76,60,"[101, 19, 12]","[33, 29, 14]","[34, 18, 8]",1.2449533939361572,0.48874296435272047,19.912205457687378
42,6.394955530196154e-05,0.3379639215259459,0.9987634984749815,268,0.6207545526261664,0.5074626865671642,0.43211057947900056,0.42558159224825887,0.6459,0.6589,0.5575,0.7121,0.4342,0.15,132,76,60,"[94, 25, 13]","[34, 33, 9]","[37, 14, 9]",1.265275001525879,0.49390243902439024,19.848844528198242
43,6.24344943582428e-05,0.33742452188607697,0.9990107987799851,268,0.6218477437058126,0.5,0.4256778309409888,0.4224429300232817,0.6632,0.6384,0.564,0.7121,0.3816,0.1833,132,76,60,"[94, 24, 14]","[30, 29, 17]","[35, 14, 11]",1.2318662405014038,0.48874296435272047,19.876603364944458
44,6.0907162069827195e-05,0.3369746800552304,0.9987634984749815,268,0.6147272205563614,0.48134328358208955,0.4002392344497608,0.39564914515651134,0.641,0.6506,0.5526,0.7121,0.3553,0.1333,132,76,60,"[94, 21, 17]","[33, 27, 16]","[43, 9, 8]",1.251084804534912,0.4807692307692308,19.905652284622192
45,5.93690657292863e-05,0.33476737188040967,0.9995878328249939,268,0.595557921288378,0.4962686567164179,0.433625730994152,0.4313096120583148,0.6353,0.6221,0.5292,0.6667,0.4342,0.2,132,76,60,"[88, 28, 16]","[31, 33, 12]","[33, 15, 12]",1.278249979019165,0.46153846153846156,20.113382577896118
46,5.7821723252011606e-05,0.33586804741596943,0.9990107987799851,268,0.5916642573327945,0.503731343283582,0.44287612971823503,0.44229713118522973,0.6132,0.6144,0.5474,0.6742,0.4211,0.2333,132,76,60,"[89, 26, 17]","[32, 32, 12]","[29, 17, 14]",1.3006854057312012,0.4540337711069418,19.974573135375977
